,Date,unit_total,close,volume,amt,turn,NAV_adj,BBI,MA,MACD,BIAS,KDJ,stage_high,stage_low,risk_downside,fund_id
0,2018/9/12,69773932.7,0.976,200,202,0.0003,0.999,1.0276,1.0378,-0.0056,-4.5943,67.9311,FALSE,FALSE,-23.5654,1
1,2018/9/13,69773932.7,0.976,0,0,0,1.002,1.0176,1.022,-0.0093,-4.3996,50.1359,FALSE,FALSE,-23.3359,1
2,2018/9/14,69773932.7,0.976,0,0,0,1.009,1.007,1.0062,-0.0121,-4.2042,38.2724,FALSE,FALSE,-22.8003,1
3,2018/9/17,69773932.7,0.976,0,0,0,0.999,1.0026,0.993,-0.0142,-4.0157,30.7955,FALSE,FALSE,-23.5654,1
4,2018/9/18,69773932.7,1.043,14400,14999,0.0206,1.005,1.0101,0.9894,-0.0103,2.0631,47.923,FALSE,FALSE,-23.1064,1
5,2018/9/19,69773932.7,0.989,885,873,0.0013,1.014,1.0079,0.992,-0.0114,-3.3078,41.5197,FALSE,FALSE,-22.4178,1
6,2018/9/20,69773932.7,1,24000,23962,0.0344,1.011,1.009,0.9968,-0.0113,-1.6716,40.8811,FALSE,FALSE,-22.6473,1
7,2018/9/21,69773932.7,1.001,300,300,0.0004,1.037,1.0055,1.0018,-0.011,-1.1358,37.058,FALSE,FALSE,-20.658,1
8,2018/9/25,69773932.7,1.001,0,0,0,1.026,1.006,1.0068,-0.0107,-0.6944,37.1431,FALSE,FALSE,-21.4996,1
9,2018/9/26,69773932.7,1.003,100,100,0.0001,1.031,1.0059,0.9988,-0.0101,-0.0664,38.1949,FALSE,FALSE,-21.1171,1
10,2018/9/27,69773932.7,1.043,400,417,0.0006,1.033,1.01,1.0096,-0.0064,3.9103,58.7966,FALSE,FALSE,-20.964,1
11,2018/9/28,69773932.7,1.018,504,513,0.0007,1.035,1.0116,1.0132,-0.0053,1.783,60.0933,FALSE,FALSE,-20.811,1
12,2018/10/8,69773932.7,1.002,8700,8616,0.0125,1.013,1.0118,1.0134,-0.0058,-0.0333,50.2317,FALSE,FALSE,-22.4943,1
13,2018/10/9,69773932.7,0.999,58874,58452,0.0844,1.012,1.0085,1.013,-0.0063,-0.5228,41.9624,FALSE,FALSE,-22.5708,1
14,2018/10/10,69773932.7,1.009,1600,1596,0.0023,1.012,1.0089,1.0142,-0.0058,0.1986,47.3165,FALSE,FALSE,-22.5708,1
15,2018/10/11,69773932.7,0.957,1000,956,0.0014,0.984,1.0024,0.997,-0.0095,-4.8156,32.3019,FALSE,FALSE,-24.7131,1
16,2018/10/12,69773932.7,0.957,0,0,0,0.988,0.9933,0.9848,-0.0123,-4.1322,22.2922,FALSE,FALSE,-24.407,1
0,2018/9/12,358517195.2,1.001,111000,111657,0.031,0.998,1.0195,1.0184,-0.0122,-2.6974,20.2,FALSE,FALSE,-19.7749,2
1,2018/9/13,358517195.2,0.998,264600,264052,0.0738,1.004,1.0161,1.0102,-0.0133,-2.6341,16.7346,FALSE,FALSE,-19.2926,2
2,2018/9/14,358517195.2,0.992,153600,154069,0.0428,0.999,1.0118,1,-0.0144,-2.7769,11.1564,FALSE,FALSE,-19.6945,2
3,2018/9/17,358517195.2,0.981,110100,106740,0.0307,0.989,1.0059,0.9946,-0.016,-3.4211,13.2154,FALSE,TRUE,-20.4984,2
4,2018/9/18,358517195.2,0.995,100200,99402,0.0279,1.008,1.0039,0.9934,-0.016,-1.696,20.8103,FALSE,TRUE,-18.9711,2
5,2018/9/19,358517195.2,1.02,289000,289093,0.0806,1.021,1.007,0.9972,-0.0138,0.7573,36.9846,FALSE,TRUE,-17.926,2
6,2018/9/20,358517195.2,1.014,99700,103357,0.0278,1.019,1.0099,1.0004,-0.0124,0.3629,46.8786,FALSE,FALSE,-18.0868,2
7,2018/9/21,358517195.2,1.035,120400,121638,0.0336,1.043,1.0151,1.009,-0.0095,2.4161,63.6196,FALSE,FALSE,-16.1576,2
8,2018/9/25,358517195.2,1.037,148900,153715,0.0415,1.039,1.0186,1.0202,-0.0069,2.6309,75.7464,FALSE,FALSE,-16.4791,2
9,2018/9/26,358517195.2,1.045,52500,54215,0.0146,1.049,1.0242,1.0302,-0.0042,3.4056,82.987,FALSE,FALSE,-15.6752,2
10,2018/9/27,358517195.2,1.027,49922,52310,0.0139,1.043,1.0252,1.0316,-0.0035,1.4655,78.7374,FALSE,FALSE,-16.1576,2
11,2018/9/28,358517195.2,1.046,152622,158056,0.0426,1.056,1.0283,1.038,-0.0013,2.9612,83.444,FALSE,FALSE,-15.1125,2
12,2018/10/8,358517195.2,1.011,107132,111902,0.0299,1.012,1.0253,1.0332,-0.0024,-0.5655,65.5251,FALSE,FALSE,-18.6495,2
13,2018/10/9,358517195.2,1.008,95900,96417,0.0267,1.005,1.0224,1.0274,-0.0035,-0.9418,51.6199,FALSE,FALSE,-19.2122,2
14,2018/10/10,358517195.2,1.005,163417,164176,0.0456,0.999,1.0175,1.0194,-0.0045,-1.3416,36.2651,FALSE,FALSE,-19.6945,2
15,2018/10/11,358517195.2,0.961,212288,204752,0.0592,0.957,1.0086,1.0062,-0.0088,-5.5064,27.0614,FALSE,TRUE,-23.0707,2
16,2018/10/12,358517195.2,0.955,109340,109064,0.0305,0.971,0.9995,0.988,-0.0125,-5.7876,21.8421,FALSE,TRUE,-21.9453,2
0,2018/9/12,3176499.27,0.616,600,369,0.0189,0.611,0.62,0.6184,-0.0087,-0.7119,27.7879,FALSE,FALSE,-46.2148,3
1,2018/9/13,3176499.27,0.618,800,494,0.0252,0.614,0.6192,0.6188,-0.0082,-0.2555,35.7667,FALSE,FALSE,-45.9507,3
2,2018/9/14,3176499.27,0.608,12400,7559,0.3904,0.613,0.6172,0.6148,-0.0085,-1.5916,23.8444,FALSE,FALSE,-46.0387,3
3,2018/9/17,3176499.27,0.605,1000,605,0.0315,0.608,0.6143,0.6126,-0.0089,-1.8388,20.1974,FALSE,TRUE,-46.4789,3
4,2018/9/18,3176499.27,0.611,1200,732,0.0378,0.62,0.6133,0.6116,-0.0086,-0.7714,24.2176,FALSE,TRUE,-45.4225,3
5,2018/9/19,3176499.27,0.616,7100,4414,0.2235,0.624,0.6141,0.6116,-0.0079,-0.1081,32.2741,FALSE,TRUE,-45.0704,3
6,2018/9/20,3176499.27,0.626,1400,870,0.0441,0.621,0.6164,0.6132,-0.0065,1.4998,54.8494,FALSE,FALSE,-45.3345,3
7,2018/9/21,3176499.27,0.622,1100,680,0.0346,0.629,0.6176,0.616,-0.0056,0.8921,64.5663,FALSE,FALSE,-44.6303,3
8,2018/9/25,3176499.27,0.622,0,0,0,0.626,0.6189,0.6194,-0.0048,0.8104,71.0442,FALSE,FALSE,-44.8944,3
9,2018/9/26,3176499.27,0.629,5900,3688,0.1857,0.633,0.6203,0.623,-0.0036,1.9311,80.6961,FALSE,FALSE,-44.2782,3
10,2018/9/27,3176499.27,0.616,31600,19475,0.9948,0.622,0.62,0.623,-0.0037,-0.1756,69.9264,FALSE,FALSE,-45.2465,3
11,2018/9/28,3176499.27,0.626,500,313,0.0157,0.632,0.6211,0.623,-0.0029,1.3082,73.4993,FALSE,FALSE,-44.3662,3
12,2018/10/8,3176499.27,0.616,1100,680,0.0346,0.613,0.6196,0.6218,-0.003,-0.3102,58.0905,FALSE,FALSE,-46.0387,3
13,2018/10/9,3176499.27,0.617,14200,8659,0.447,0.61,0.6193,0.6208,-0.003,-0.1349,53.5418,FALSE,FALSE,-46.3028,3
14,2018/10/10,3176499.27,0.611,15600,9458,0.4911,0.606,0.6175,0.6172,-0.0034,-1.146,51.0791,FALSE,TRUE,-46.6549,3
15,2018/10/11,3176499.27,0.576,69200,40614,2.1785,0.564,0.6108,0.6092,-0.0065,-6.4429,34.0528,FALSE,TRUE,-50.3521,3
16,2018/10/12,3176499.27,0.572,2700,1546,0.085,0.565,0.604,0.5984,-0.0092,-6.5995,27.0497,FALSE,TRUE,-50.2641,3
0,2018/9/12,408716495.1,0.796,439200,349200,0.1075,0.7855,0.8144,0.804,-0.0224,-2.9268,14.3589,FALSE,TRUE,-28.6882,4
1,2018/9/13,408716495.1,0.774,518200,401784,0.1268,0.7701,0.8076,0.7986,-0.0241,-4.7873,15.8226,FALSE,TRUE,-30.0862,4
2,2018/9/14,408716495.1,0.761,189339,145585,0.0463,0.7573,0.7991,0.7882,-0.0261,-5.4854,10.5484,FALSE,TRUE,-31.2483,4
3,2018/9/17,408716495.1,0.746,367600,275749,0.0899,0.7416,0.7889,0.7764,-0.0286,-6.4577,7.0323,FALSE,TRUE,-32.6736,4
4,2018/9/18,408716495.1,0.762,221800,165410,0.0543,0.7604,0.784,0.7678,-0.029,-3.8688,14.9763,FALSE,TRUE,-30.9669,4
5,2018/9/19,408716495.1,0.771,301800,232955,0.0738,0.7728,0.7817,0.7628,-0.0282,-2.271,23.9759,FALSE,TRUE,-29.8411,4
6,2018/9/20,408716495.1,0.768,51000,39042,0.0125,0.7679,0.7808,0.7616,-0.0275,-2.1033,29.9479,FALSE,TRUE,-30.286,4
7,2018/9/21,408716495.1,0.786,411200,321320,0.1006,0.7915,0.7825,0.7666,-0.0253,0.4687,42.6505,FALSE,FALSE,-28.1434,4
8,2018/9/25,408716495.1,0.79,166059,130286,0.0406,0.7916,0.7847,0.7754,-0.0229,1.0984,52.9707,FALSE,FALSE,-28.1344,4
9,2018/9/26,408716495.1,0.799,240284,190956,0.0588,0.8019,0.7891,0.7828,-0.02,2.4031,65.2655,FALSE,FALSE,-27.1993,4
10,2018/9/27,408716495.1,0.803,222875,179723,0.0545,0.8049,0.7918,0.7892,-0.0172,2.9377,71.0103,FALSE,FALSE,-26.9269,4
11,2018/9/28,408716495.1,0.81,95600,77120,0.0234,0.8105,0.795,0.7976,-0.0143,3.7796,77.7569,FALSE,FALSE,-26.4185,4
12,2018/10/8,408716495.1,0.774,213955,166737,0.0523,0.7688,0.7918,0.7952,-0.0147,-0.5993,67.2546,FALSE,FALSE,-30.2043,4
13,2018/10/9,408716495.1,0.767,279900,216940,0.0685,0.7623,0.7869,0.7906,-0.0154,-1.4244,50.8473,FALSE,FALSE,-30.7944,4
14,2018/10/10,408716495.1,0.758,218200,166168,0.0534,0.7549,0.7802,0.7824,-0.0165,-2.5498,33.8982,FALSE,FALSE,-31.4662,4
15,2018/10/11,408716495.1,0.724,448269,324993,0.1097,0.7108,0.7713,0.7666,-0.0199,-6.701,29.4364,FALSE,TRUE,-35.4698,4
16,2018/10/12,408716495.1,0.722,443600,319287,0.1085,0.7108,0.7623,0.749,-0.0225,-6.5574,25.8921,FALSE,TRUE,-35.4698,4
0,2018/9/12,47000439.28,0.888,10900,9679,0.0232,0.8589,0.8993,0.895,-0.0143,-1.8694,33.5828,FALSE,FALSE,-20.8095,5
1,2018/9/13,47000439.28,0.888,0,0,0,0.8584,0.8968,0.8928,-0.0142,-1.5885,29.7959,FALSE,FALSE,-20.8556,5
2,2018/9/14,47000439.28,0.845,5600,4730,0.0119,0.8453,0.8887,0.8818,-0.0174,-5.7883,21.49,FALSE,TRUE,-22.0634,5
3,2018/9/17,47000439.28,0.836,5400,4514,0.0115,0.831,0.8788,0.869,-0.0204,-5.997,14.3267,FALSE,TRUE,-23.3819,5
4,2018/9/18,47000439.28,0.836,100,84,0.0002,0.8469,0.869,0.8586,-0.0226,-5.2423,9.5511,FALSE,TRUE,-21.9159,5
5,2018/9/19,47000439.28,0.865,3306,2859,0.007,0.8594,0.8685,0.854,-0.0217,-1.5647,21.4716,FALSE,TRUE,-20.7634,5
6,2018/9/20,47000439.28,0.865,1000,865,0.0021,0.8538,0.869,0.8494,-0.0208,-1.2369,29.4185,FALSE,TRUE,-21.2797,5
7,2018/9/21,47000439.28,0.89,500,445,0.0011,0.8802,0.8733,0.8584,-0.0178,1.7143,52.3396,FALSE,FALSE,-18.8457,5
8,2018/9/25,47000439.28,0.917,300,275,0.0006,0.8756,0.8814,0.8746,-0.0131,4.6207,67.8199,FALSE,FALSE,-19.2698,5
9,2018/9/26,47000439.28,0.918,1000,909,0.0021,0.8839,0.8901,0.891,-0.0092,4.5558,78.5466,FALSE,FALSE,-18.5045,5
10,2018/9/27,47000439.28,0.918,100,92,0.0002,0.8776,0.8967,0.9016,-0.006,4.3775,85.6977,FALSE,FALSE,-19.0854,5
11,2018/9/28,47000439.28,0.918,0,0,0,0.8864,0.8999,0.9122,-0.0035,4.0816,90.4652,FALSE,FALSE,-18.274,5
12,2018/10/8,47000439.28,0.914,10100,8591,0.0215,0.8463,0.902,0.917,-0.0018,3.3742,92.0174,FALSE,FALSE,-21.9712,5
13,2018/10/9,47000439.28,0.896,19900,16802,0.0423,0.8384,0.9003,0.9128,-0.0019,1.262,85.2766,FALSE,FALSE,-22.6996,5
14,2018/10/10,47000439.28,0.893,16940,14236,0.036,0.8305,0.8981,0.9078,-0.0021,0.4688,80.6058,FALSE,TRUE,-23.428,5
15,2018/10/11,47000439.28,0.876,34458,27971,0.0733,0.7768,0.8934,0.8994,-0.0037,-1.8121,66.764,FALSE,TRUE,-28.3791,5
16,2018/10/12,47000439.28,0.85,7269,5842,0.0155,0.7768,0.8863,0.8858,-0.0069,-4.8507,55.1623,FALSE,TRUE,-28.3791,5
0,2018/9/12,28337319.85,0.864,7000,6050,0.0247,0.8555,0.8816,0.8742,-0.0161,-3.0756,17.7075,FALSE,FALSE,-20.8823,6
1,2018/9/13,28337319.85,0.847,9200,7795,0.0325,0.855,0.876,0.8648,-0.0178,-4.3568,11.805,FALSE,FALSE,-20.9285,6
2,2018/9/14,28337319.85,0.932,4400,3885,0.0155,0.842,0.8828,0.8754,-0.0121,5.3107,41.2033,FALSE,TRUE,-22.1308,6
3,2018/9/17,28337319.85,0.932,0,0,0,0.8277,0.8912,0.8888,-0.0076,4.9353,60.8022,FALSE,TRUE,-23.4533,6
4,2018/9/18,28337319.85,0.849,49700,42130,0.1754,0.8436,0.8893,0.8848,-0.0105,-4.0045,44.7453,FALSE,TRUE,-21.9828,6
5,2018/9/19,28337319.85,0.851,3500,2950,0.0124,0.856,0.8804,0.8822,-0.0125,-3.3869,35.0386,FALSE,TRUE,-20.836,6
6,2018/9/20,28337319.85,0.858,1500,1276,0.0053,0.8505,0.8732,0.8844,-0.0134,-2.2594,30.9979,FALSE,TRUE,-21.3447,6
7,2018/9/21,28337319.85,0.861,1100,947,0.0039,0.8767,0.8742,0.8702,-0.0137,-1.6094,29.3458,FALSE,TRUE,-18.9217,6
8,2018/9/25,28337319.85,0.861,0,0,0,0.8721,0.8713,0.856,-0.0138,-1.2992,28.2444,FALSE,FALSE,-19.3471,6
9,2018/9/26,28337319.85,0.861,0,0,0,0.8804,0.8681,0.8584,-0.0137,-1.1292,27.5102,FALSE,FALSE,-18.5795,6
10,2018/9/27,28337319.85,0.861,0,0,0,0.8741,0.8684,0.8604,-0.0135,-1.0913,27.0207,FALSE,FALSE,-19.1621,6
11,2018/9/28,28337319.85,0.941,86673,77892,0.3059,0.8829,0.8809,0.877,-0.0068,7.3588,49.5453,FALSE,FALSE,-18.3483,6
12,2018/10/8,28337319.85,0.85,30717,27892,0.1084,0.8429,0.8788,0.8748,-0.0087,-2.8941,35.9109,FALSE,FALSE,-22.0475,6
13,2018/10/9,28337319.85,0.85,14600,12500,0.0515,0.835,0.8768,0.8726,-0.0101,-2.9219,26.8212,FALSE,FALSE,-22.7781,6
14,2018/10/10,28337319.85,0.864,3600,3010,0.0127,0.827,0.8683,0.8732,-0.01,-0.6801,27.07,FALSE,TRUE,-23.518,6
15,2018/10/11,28337319.85,0.789,35844,28378,0.1265,0.7736,0.8561,0.8588,-0.0157,-8.042,18.0467,FALSE,TRUE,-28.4565,6
16,2018/10/12,28337319.85,0.842,600,476,0.0021,0.7736,0.854,0.839,-0.0159,-1.798,22.0461,FALSE,TRUE,-28.4565,6
0,2018/9/12,82651734.48,1.047,22300,23352,0.027,1.0384,1.0652,1.054,-0.0217,-2.9132,10.6955,FALSE,FALSE,-24.4635,7
1,2018/9/13,82651734.48,1.075,58642,60534,0.071,1.0195,1.0659,1.057,-0.0195,0.1631,28.7754,FALSE,FALSE,-25.8384,7
2,2018/9/14,82651734.48,1.065,4684,4955,0.0057,1.0071,1.0661,1.0576,-0.0183,-0.2965,37.7021,FALSE,FALSE,-26.7404,7
3,2018/9/17,82651734.48,0.999,20382,20596,0.0247,0.9891,1.0563,1.0464,-0.0225,-5.8361,28.2212,FALSE,TRUE,-28.0498,7
4,2018/9/18,82651734.48,1.013,9920,10046,0.012,1.0106,1.0467,1.0398,-0.0244,-3.7682,26.9774,FALSE,TRUE,-26.4858,7
5,2018/9/19,82651734.48,1.029,29415,30091,0.0356,1.0233,1.0416,1.0362,-0.0243,-1.8364,31.5904,FALSE,TRUE,-25.5619,7
6,2018/9/20,82651734.48,1.017,3700,3763,0.0045,1.0197,1.0406,1.0246,-0.0249,-2.6173,31.9129,FALSE,FALSE,-25.8238,7
7,2018/9/21,82651734.48,1.044,16020,16332,0.0194,1.0513,1.0415,1.0204,-0.023,0.1279,42.5931,FALSE,FALSE,-23.5251,7
8,2018/9/25,82651734.48,1.044,600,626,0.0007,1.0513,1.0413,1.0294,-0.0212,0.2561,49.7132,FALSE,FALSE,-23.5251,7
9,2018/9/26,82651734.48,1.061,44695,47187,0.0541,1.0616,1.0477,1.039,-0.0182,1.8968,61.0491,FALSE,FALSE,-22.7759,7
10,2018/9/27,82651734.48,1.069,11400,12246,0.0138,1.0736,1.0524,1.047,-0.015,2.5502,70.662,FALSE,FALSE,-21.903,7
11,2018/9/28,82651734.48,1.086,12700,13771,0.0154,1.0823,1.0591,1.0608,-0.011,3.8489,79.1212,FALSE,FALSE,-21.2701,7
12,2018/10/8,82651734.48,1.078,71620,74723,0.0867,1.032,1.0633,1.0676,-0.0083,2.8299,82.0404,FALSE,FALSE,-24.9291,7
13,2018/10/9,82651734.48,1.023,46520,47562,0.0563,1.0254,1.0563,1.0634,-0.0105,-2.0115,65.468,FALSE,FALSE,-25.4092,7
14,2018/10/10,82651734.48,1.014,10200,10398,0.0123,1.0148,1.0468,1.054,-0.0129,-2.4766,44.5,FALSE,FALSE,-26.1803,7
15,2018/10/11,82651734.48,0.996,67995,66873,0.0823,0.9583,1.0363,1.0394,-0.016,-4.1847,38.3281,FALSE,TRUE,-30.2902,7
16,2018/10/12,82651734.48,0.996,3200,3185,0.0039,0.9583,1.0294,1.0214,-0.0183,-4.0539,34.2135,FALSE,TRUE,-30.2902,7
0,2018/9/12,119593065.7,1.045,4500,4870,0.0038,1.0412,1.0705,1.0642,-0.0164,-2.9036,16.2772,FALSE,FALSE,-24.2764,8
1,2018/9/13,119593065.7,1.02,2900,2980,0.0024,1.0223,1.0611,1.0524,-0.0192,-4.5242,10.8515,FALSE,FALSE,-25.6509,8
2,2018/9/14,119593065.7,1.014,60000,61170,0.0502,1.0098,1.0513,1.041,-0.0218,-4.4073,7.2343,FALSE,FALSE,-26.56,8
3,2018/9/17,119593065.7,1.011,4923,4908,0.0041,0.9918,1.0436,1.0306,-0.0237,-4.163,11.0729,FALSE,TRUE,-27.8691,8
4,2018/9/18,119593065.7,1.007,10670,10746,0.0089,1.0133,1.038,1.0194,-0.0253,-4.0495,12.7986,FALSE,TRUE,-26.3055,8
5,2018/9/19,119593065.7,1.022,2465,2517,0.0021,1.0261,1.0355,1.0148,-0.025,-2.3645,17.0741,FALSE,TRUE,-25.3745,8
6,2018/9/20,119593065.7,1.03,5965,6132,0.005,1.0225,1.0355,1.0168,-0.0239,-1.278,21.591,FALSE,FALSE,-25.6364,8
7,2018/9/21,119593065.7,1.03,0,0,0,1.0542,1.0367,1.02,-0.0228,-0.7627,24.6024,FALSE,FALSE,-23.3309,8
8,2018/9/25,119593065.7,1.03,0,0,0,1.0542,1.0363,1.0238,-0.0216,-0.3708,26.6099,FALSE,FALSE,-23.3309,8
9,2018/9/26,119593065.7,1.057,5400,5675,0.0045,1.0645,1.0401,1.0338,-0.0183,2.3564,51.0733,FALSE,FALSE,-22.5818,8
10,2018/9/27,119593065.7,1.071,11500,12982,0.0096,1.0765,1.0463,1.0436,-0.0144,3.6452,50.998,FALSE,FALSE,-21.7091,8
11,2018/9/28,119593065.7,1.072,6500,6967,0.0054,1.0853,1.052,1.052,-0.0111,3.6667,51.1361,FALSE,FALSE,-21.0691,8
12,2018/10/8,119593065.7,1.036,5000,5182,0.0042,1.0347,1.0493,1.0532,-0.0112,0.2581,40.4925,FALSE,FALSE,-24.7491,8
13,2018/10/9,119593065.7,1.028,700,720,0.0006,1.0281,1.0449,1.0528,-0.0119,-0.5803,29.376,FALSE,FALSE,-25.2291,8
14,2018/10/10,119593065.7,1.005,6700,6752,0.0056,1.0175,1.037,1.0424,-0.014,-2.7341,19.584,FALSE,FALSE,-26,8
15,2018/10/11,119593065.7,0.95,22200,21276,0.0186,0.9608,1.0228,1.0182,-0.02,-7.6025,13.056,FALSE,TRUE,-30.1236,8
16,2018/10/12,119593065.7,0.984,52947,51740,0.0443,0.9608,1.0141,1.0006,-0.0217,-4.1169,15.793,FALSE,TRUE,-30.1236,8
0,2018/9/12,36610384.77,0.863,3300,2852,0.009,0.8577,0.8822,0.8758,-0.0219,-2.6326,10.8203,FALSE,TRUE,-26.3966,9
1,2018/9/13,36610384.77,0.843,10600,9080,0.029,0.8532,0.8755,0.8684,-0.0235,-4.3133,7.2136,FALSE,TRUE,-26.7828,9
2,2018/9/14,36610384.77,0.86,2200,1892,0.006,0.8479,0.8721,0.8606,-0.0232,-2.0222,14.5792,FALSE,TRUE,-27.2376,9
3,2018/9/17,36610384.77,0.837,400,335,0.0011,0.8349,0.8651,0.8538,-0.0245,-4.0779,9.7194,FALSE,TRUE,-28.3532,9
4,2018/9/18,36610384.77,0.821,10000,8210,0.0273,0.8464,0.8585,0.8448,-0.0265,-5.3057,6.4796,FALSE,TRUE,-27.3663,9
5,2018/9/19,36610384.77,0.86,12900,11145,0.0352,0.8556,0.8571,0.8442,-0.0246,-0.5397,20.9864,FALSE,TRUE,-26.5768,9
6,2018/9/20,36610384.77,0.886,12500,11053,0.0341,0.8526,0.8622,0.8528,-0.0208,2.487,41.7687,FALSE,TRUE,-26.8343,9
7,2018/9/21,36610384.77,0.887,10100,8832,0.0276,0.8673,0.8697,0.8582,-0.0176,2.6126,50.7625,FALSE,FALSE,-25.5728,9
8,2018/9/25,36610384.77,0.886,1100,949,0.003,0.8649,0.8731,0.868,-0.0149,2.4376,56.4111,FALSE,FALSE,-25.7788,9
9,2018/9/26,36610384.77,0.879,10629,9367,0.029,0.8752,0.8739,0.8796,-0.0131,1.8245,57.7463,FALSE,FALSE,-24.8949,9
10,2018/9/27,36610384.77,0.879,3100,2725,0.0085,0.8759,0.8756,0.8834,-0.0116,1.7459,58.6364,FALSE,FALSE,-24.8348,9
11,2018/9/28,36610384.77,0.879,0,0,0,0.8838,0.8761,0.882,-0.0103,1.6185,59.2298,FALSE,FALSE,-24.1569,9
12,2018/10/8,36610384.77,0.876,300,263,0.0008,0.857,0.8753,0.8798,-0.0094,1.145,58.5838,FALSE,FALSE,-26.4567,9
13,2018/10/9,36610384.77,0.876,200,175,0.0005,0.8558,0.875,0.8778,-0.0086,0.8249,51.9912,FALSE,FALSE,-26.5597,9
14,2018/10/10,36610384.77,0.896,7100,6141,0.0194,0.8529,0.8775,0.8812,-0.0063,2.7719,58.135,FALSE,FALSE,-26.8085,9
15,2018/10/11,36610384.77,0.809,15200,12883,0.0415,0.8101,0.8675,0.8672,-0.0113,-6.958,39.0625,FALSE,TRUE,-30.4814,9
16,2018/10/12,36610384.77,0.806,9500,7754,0.0259,0.8101,0.8575,0.8526,-0.0154,-7.1696,28.9152,FALSE,TRUE,-30.4814,9
0,2018/9/12,18362010.88,0.871,1700,1481,0.0093,0.8547,0.8804,0.8732,-0.0202,-1.4892,14.8275,FALSE,FALSE,-26.4268,10
