Date,unit_total,close,volume,amt,turn,NAV_adj,BBI,MA,MACD,BIAS,KDJ,stage_high,stage_low,risk_downside,fund_id
2018/9/26,69773932.7,1.003,100,100,0.0001,1.031,1.0059,0.9988,-0.0101,-0.0664,38.1949,FALSE,FALSE,-21.1171,1
2018/9/27,69773932.7,1.043,400,417,0.0006,1.033,1.01,1.0096,-0.0064,3.9103,58.7966,FALSE,FALSE,-20.964,1
2018/9/28,69773932.7,1.018,504,513,0.0007,1.035,1.0116,1.0132,-0.0053,1.783,60.0933,FALSE,FALSE,-20.811,1
2018/10/8,7223895.7,1.002,8700,8616,0.1204,1.013,1.0118,1.0134,-0.0058,-0.0333,50.2317,FALSE,FALSE,-22.4943,1
2018/10/9,7223895.7,0.999,58874,58452,0.815,1.012,1.0085,1.013,-0.0063,-0.5228,41.9624,FALSE,FALSE,-22.5708,1
2018/10/10,7223895.7,1.009,1600,1596,0.0221,1.012,1.0089,1.0142,-0.0058,0.1986,47.3165,FALSE,FALSE,-22.5708,1
2018/10/11,7223895.7,0.957,1000,956,0.0138,0.984,1.0024,0.997,-0.0095,-4.8156,32.3019,FALSE,FALSE,-24.7131,1
2018/10/12,7223895.7,0.957,0,0,0,0.988,0.9933,0.9848,-0.0123,-4.1322,22.2922,FALSE,FALSE,-24.407,1
2018/10/15,7223895.7,0.999,200,200,0.0028,0.986,0.9921,0.9842,-0.011,-0.0083,31.5281,FALSE,FALSE,-24.5601,1
2018/10/16,7223895.7,0.999,0,0,0,0.98,0.9947,0.9842,-0.0099,0,37.6854,FALSE,FALSE,-25.0191,1
2018/10/17,7223895.7,0.999,0,0,0,0.978,0.9975,0.9822,-0.0089,0.0167,48.404,FALSE,FALSE,-25.1721,1
2018/10/18,7223895.7,0.984,100,98,0.0014,0.976,0.9942,0.9876,-0.0092,-1.3451,49.2284,FALSE,FALSE,-25.3252,1
2018/10/19,7223895.7,0.984,0,0,0,0.98,0.9929,0.993,-0.0093,-1.1883,50.7202,FALSE,FALSE,-25.0191,1
2018/10/22,7223895.7,1.02,300,306,0.0042,1.003,0.9966,0.9972,-0.0064,2.6243,67.1468,FALSE,FALSE,-23.2594,1
2018/10/23,7223895.7,1.02,0,0,0,0.993,1.0001,1.0014,-0.0041,2.6071,78.0979,FALSE,FALSE,-24.0245,1
2018/10/24,7223895.7,1.02,0,0,0,0.992,1.0048,1.0056,-0.0022,2.4525,85.3986,FALSE,FALSE,-24.101,1
2018/10/25,7223895.7,0.991,400,396,0.0055,0.98,1.002,1.007,-0.0031,-0.3937,63.4139,FALSE,FALSE,-25.0191,1
2018/10/26,7223895.7,0.956,100,96,0.0014,0.98,0.9942,1.0014,-0.0065,-3.4831,42.2759,FALSE,FALSE,-25.0191,1
2018/9/26,358517195.2,1.045,52500,54215,0.0146,1.049,1.0242,1.0302,-0.0042,3.4056,82.987,FALSE,FALSE,-15.6752,2
2018/9/27,358517195.2,1.027,49922,52310,0.0139,1.043,1.0252,1.0316,-0.0035,1.4655,78.7374,FALSE,FALSE,-16.1576,2
2018/9/28,358517195.2,1.046,152622,158056,0.0426,1.056,1.0283,1.038,-0.0013,2.9612,83.444,FALSE,FALSE,-15.1125,2
2018/10/8,401160079,1.011,107132,111902,0.0267,1.012,1.0253,1.0332,-0.0024,-0.5655,65.5251,FALSE,FALSE,-18.6495,2
2018/10/9,401160079,1.008,95900,96417,0.0239,1.005,1.0224,1.0274,-0.0035,-0.9418,51.6199,FALSE,FALSE,-19.2122,2
2018/10/10,401160079,1.005,163417,164176,0.0407,0.999,1.0175,1.0194,-0.0045,-1.3416,36.2651,FALSE,FALSE,-19.6945,2
2018/10/11,401160079,0.961,212288,204752,0.0529,0.957,1.0086,1.0062,-0.0088,-5.5064,27.0614,FALSE,TRUE,-23.0707,2
2018/10/12,401160079,0.955,109340,109064,0.0273,0.971,0.9995,0.988,-0.0125,-5.7876,21.8421,FALSE,TRUE,-21.9453,2
2018/10/15,401160079,0.954,100962,96410,0.0252,0.963,0.9894,0.9766,-0.0154,-5.3728,18.0702,FALSE,TRUE,-22.5884,2
2018/10/16,401160079,0.955,119600,120198,0.0298,0.951,0.9844,0.966,-0.0174,-4.8094,15.8479,FALSE,TRUE,-23.5531,2
2018/10/17,401160079,0.96,103200,98763,0.0257,0.956,0.9805,0.957,-0.0183,-3.7111,15.8285,FALSE,FALSE,-23.1511,2
2018/10/18,401160079,0.97,102700,104205,0.0256,0.936,0.9783,0.9588,-0.0181,-2.1602,18.7394,FALSE,FALSE,-24.7588,2
2018/10/19,401160079,0.968,300996,277590,0.075,0.963,0.9773,0.9614,-0.0178,-1.7259,30.7538,FALSE,TRUE,-22.5884,2
2018/10/22,401160079,1.002,128900,130831,0.0321,1.012,0.9822,0.971,-0.0147,1.9415,48.6185,FALSE,TRUE,-18.6495,2
2018/10/23,401160079,0.988,127900,126659,0.0319,0.98,0.9837,0.9776,-0.0132,1.0139,56.4703,FALSE,TRUE,-21.2219,2
2018/10/24,401160079,0.988,102700,102455,0.0256,0.973,0.9862,0.9832,-0.0119,1.2122,61.7048,FALSE,FALSE,-21.7846,2
2018/10/25,401160079,0.97,110200,103242,0.0275,0.97,0.9828,0.9832,-0.0122,-0.3083,59.9771,FALSE,FALSE,-22.0257,2
2018/10/26,401160079,0.965,110100,109399,0.0274,0.97,0.9796,0.9826,-0.0127,-0.4813,57.3761,FALSE,FALSE,-22.0257,2
2018/9/26,3176499.27,0.629,5900,3688,0.1857,0.633,0.6203,0.623,-0.0036,1.9311,80.6961,FALSE,FALSE,-44.2782,3
2018/9/27,3176499.27,0.616,31600,19475,0.9948,0.622,0.62,0.623,-0.0037,-0.1756,69.9264,FALSE,FALSE,-45.2465,3
2018/9/28,3176499.27,0.626,500,313,0.0157,0.632,0.6211,0.623,-0.0029,1.3082,73.4993,FALSE,FALSE,-44.3662,3
2018/10/8,3241896.91,0.616,1100,680,0.0339,0.613,0.6196,0.6218,-0.003,-0.3102,58.0905,FALSE,FALSE,-46.0387,3
2018/10/9,3241896.91,0.617,14200,8659,0.438,0.61,0.6193,0.6208,-0.003,-0.1349,53.5418,FALSE,FALSE,-46.3028,3
2018/10/10,3241896.91,0.611,15600,9458,0.4812,0.606,0.6175,0.6172,-0.0034,-1.146,51.0791,FALSE,TRUE,-46.6549,3
2018/10/11,3241896.91,0.576,69200,40614,2.1346,0.564,0.6108,0.6092,-0.0065,-6.4429,34.0528,FALSE,TRUE,-50.3521,3
2018/10/12,3241896.91,0.572,2700,1546,0.0833,0.565,0.604,0.5984,-0.0092,-6.5995,27.0497,FALSE,TRUE,-50.2641,3
2018/10/15,3241896.91,0.571,15500,8848,0.4781,0.558,0.597,0.5894,-0.0113,-6.1884,21.8978,FALSE,TRUE,-50.8803,3
2018/10/16,3241896.91,0.556,7000,3953,0.2159,0.549,0.5907,0.5772,-0.014,-7.7689,15.8644,FALSE,TRUE,-51.6725,3
2018/10/17,3241896.91,0.556,3500,1939,0.108,0.554,0.5847,0.5662,-0.0159,-6.9196,12.3781,FALSE,TRUE,-51.2324,3
